Coin Name,Open,Close,High,Low,Symbol,Time,Date
Ripple,2.13,2.13,2.14,2.13,XRP,4/5/2025 9:30,4/5/2025
Ripple,2.13,2.14,2.14,2.13,XRP,4/5/2025 10:00,4/5/2025
Ripple,2.14,2.15,2.15,2.14,XRP,4/5/2025 10:30,4/5/2025
Ripple,2.15,2.15,2.16,2.15,XRP,4/5/2025 11:00,4/5/2025
Ripple,2.16,2.16,2.16,2.15,XRP,4/5/2025 11:30,4/5/2025
Ripple,2.16,2.16,2.16,2.16,XRP,4/5/2025 12:00,4/5/2025
Ripple,2.16,2.17,2.17,2.16,XRP,4/5/2025 12:30,4/5/2025
Ripple,2.17,2.15,2.17,2.15,XRP,4/5/2025 13:00,4/5/2025
Ripple,2.15,2.13,2.15,2.13,XRP,4/5/2025 13:30,4/5/2025
Ripple,2.13,2.13,2.13,2.12,XRP,4/5/2025 14:00,4/5/2025
Ripple,2.13,2.14,2.14,2.13,XRP,4/5/2025 14:30,4/5/2025
Ripple,2.14,2.14,2.14,2.14,XRP,4/5/2025 15:00,4/5/2025
Ripple,2.14,2.13,2.14,2.13,XRP,4/5/2025 15:30,4/5/2025
Ripple,2.12,2.12,2.12,2.12,XRP,4/5/2025 16:00,4/5/2025
Ripple,2.12,2.12,2.13,2.12,XRP,4/5/2025 16:30,4/5/2025
Ripple,2.12,2.12,2.13,2.12,XRP,4/5/2025 17:00,4/5/2025
Ripple,2.12,2.13,2.13,2.12,XRP,4/5/2025 17:30,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 18:00,4/5/2025
Ripple,2.12,2.13,2.13,2.12,XRP,4/5/2025 18:30,4/5/2025
Ripple,2.13,2.14,2.14,2.13,XRP,4/5/2025 19:00,4/5/2025
Ripple,2.14,2.13,2.14,2.13,XRP,4/5/2025 19:30,4/5/2025
Ripple,2.13,2.12,2.13,2.12,XRP,4/5/2025 20:00,4/5/2025
Ripple,2.12,2.13,2.13,2.12,XRP,4/5/2025 20:30,4/5/2025
Ripple,2.13,2.13,2.13,2.12,XRP,4/5/2025 21:00,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 21:30,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 22:00,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 22:30,4/5/2025
Ripple,2.13,2.13,2.13,2.13,XRP,4/5/2025 23:00,4/5/2025
Cardano,0.662276,0.659935,0.662276,0.659935,ADA,4/4/2025 23:30,4/4/2025
Cardano,0.659276,0.660559,0.660559,0.659146,ADA,4/5/2025 0:00,4/5/2025
Cardano,0.660332,0.660837,0.661269,0.658502,ADA,4/5/2025 0:30,4/5/2025
Cardano,0.660817,0.662508,0.662508,0.659817,ADA,4/5/2025 1:00,4/5/2025
Cardano,0.664025,0.666003,0.666077,0.664025,ADA,4/5/2025 1:30,4/5/2025
Cardano,0.666492,0.663138,0.666492,0.663138,ADA,4/5/2025 2:00,4/5/2025
Cardano,0.662759,0.661908,0.662759,0.661111,ADA,4/5/2025 2:30,4/5/2025
